trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
203,False,"{'a': 0.6677640214002869, 'e': 0.2019601622346159}",25,0,14.119376825086029,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
204,False,"{'a': 0.6597231226543696, 'e': 0.18347688132528706}",30,3,-6.522808223049278,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
205,False,"{'a': 0.6515422101063482, 'e': 0.16572801418342212}",25,3,22.055224482684316,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.6432219153879815, 'e': 0.148785078375229}",25,12,12.309710874731666,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.6347630781765774, 'e': 0.13271274642258646}",30,4,42.37444961006818,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.6261667562358311, 'e': 0.11756744793612375}",30,17,-9.439279436017637,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
209,False,"{'a': 0.6174342354912782, 'e': 0.10339606536391915}",25,12,26.46566419858582,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.6085670401009416, 'e': 0.09023477695299745}",20,12,2.3848415033559354,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.5995669424778862, 'e': 0.07810810152803781}",25,8,35.14232670031135,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5904359732173889, 'e': 0.06702819786658827}",25,11,26.29441114105594,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5811764308773053, 'e': 0.05699446634561382}",30,14,29.907889951701602,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5717908915559778, 'e': 0.04799349186717315}",30,22,17.199247849629923,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5622822182077168, 'e': 0.03999935479314282}",20,12,15.046543619973964,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5526535696315165, 'e': 0.032974320982447805}",20,7,0.9605824890735459,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5429084090642733, 'e': 0.02686990363160385}",20,5,13.441723834277882,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.5330505123053978, 'e': 0.021628269444668738}",25,18,12.646095046156196,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.523083975295385, 'e': 0.017183941029635767}",25,15,10.05257633704671,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.5130132210666852, 'e': 0.013465727948525298}",35,21,26.66733130179283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5028430059811503, 'e': 0.010398802315682926}",25,13,18.428112613952138,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.492578425164467, 'e': 0.00790682301159702}",25,13,21.825023144760184,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.48222491704441095, 'e': 0.005914007004852152}",20,11,17.505031868526693,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.47178826689650954, 'e': 0.004347048049783079}",20,11,16.553632604983655,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.461274609297884, 'e': 0.0031367925880340496}",20,11,13.90434651912397,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.45069042938771814, 'e': 0.0022195996480221364}",30,12,28.35666085292163,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.4400425628310679, 'e': 0.0015383346491013223}",25,18,12.820856117677243,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.42933819438166637, 'e': 0.001042974204765188}",25,8,34.90678704013878,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.4185848549390976, 'e': 0.0006908275956286902}",25,15,20.84092181810611,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.407790416996302, 'e': 0.00044640757361873407}",25,17,15.946639696022302,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,18,23.64203231955106,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,15,19.31035824601178,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,8,37.34658496221104,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,22,17.192504957264138,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,14,33.340362970245025,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,15,20.872520863705223,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,12.348790095984796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,32.877185910754136,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,7,43.63391668835754,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
